Title,Comment
蜘蛛侠：平行宇宙 / Spider-Man: Into the Spider-Verse / 蜘蛛侠：新纪元 / 蜘蛛人：新宇宙(台),猪猪侠可爱！ 然后傻傻的我跟着电影在唱needless to say i keep her in check~ she was all badbad nevertheless~
娜娜 / Nana / 世上的另一个我 / NANA,小时候觉得奈奈一定是双鱼座
美国动物 / American Animals,片尾放了rodriguez..
海王 / Aquaman / 水行侠(港/台) / 潜水侠,开头sigur ros就可以给四星啦～
时间旅行者的妻子 / The Time Traveler's Wife / 时光旅的恋人(港) / 时空旅人之妻(台),love will tear us apart again
无敌破坏王2：大闹互联网 / Ralph Breaks the Internet / 无敌破坏王2 / 无敌破坏王2：网路大暴走(台),to say goodbye is to die a little
致所有我曾爱过的男孩 / To All the Boys I've Loved Before / 爱的过去进行式(台),甜～
娼年 / Call Boy,。。。
精灵旅社3：疯狂假期 / Hotel Transylvania 3: Summer Vacation / 鬼灵精怪大酒店3：怪兽旅行团(港) / 尖叫旅社3：怪兽假期(台),乐呵呵
小偷家族 / 万引き家族 / Shoplifters / Une Affaire de Famille,3.5
蚁人 / Ant-Man / 蚁侠(港) / Antman,Playing Disintegration by The Cure!
后来的我们 / Us and Them,二倍速加偶尔的快进四舍五入二点五倍速看的我觉得还行
敦刻尔克 / Dunkirk / 敦刻尔克大撤退 / 敦克尔克大行动(台),三星半
蜘蛛侠：英雄归来 / Spider-Man: Homecoming / 蜘蛛侠：强势回归(港) / 蜘蛛人：返校日(台),笑嘻嘻
极盗车神 / Baby Driver / 玩命再劫(台) / 宝贝神车手(港),头重脚轻
独领风骚 / Clueless / 叻女掌門人(港) / 倩女掌门人,Just a girl～♫
喜欢你 / 喜欢·你 / 男人使用手册,甜腻腻
美女与野兽 / Beauty and the Beast,就是满满的少女心呀💕
爱乐之城 / La La Land / 星声梦里人(港) / 乐来越爱你(台),又美又甜又心碎💔
请回答1988 / 응답하라 1988 / 回应吧1988 / Reply 1988,阿泽～ヾ (o ° ω ° O ) ノ゙
几近成名 / Almost Famous / 成名在望(台) / 不日成名(港),so much that it hurts
